"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"Q1","NCV8403A","SOT223-4","0.1937","1.0594","Top","270.0","42V 10A"
"Q2","NCV8403A","SOT223-4","0.4937","1.0594","Top","270.0","42V 10A"
"Q3","NCV8403A","SOT223-4","0.7937","1.0594","Top","270.0","42V 10A"
"Q4","NCV8403A","SOT223-4","1.0875","1.0594","Top","270.0","42V 10A"
"TB1","TB_3p5mm_8POS_PHOENIX_1945122","TB_HEADER_8P","0.2875","0.125","Top","0.0","1945122"
"MOD1","CNC_Module_Pins","CNC_Module_V3","0.6299","1.5748","Top","0.0","1x12 P"
"LED1","LED_GRN_0805","LED_0805","0.175","1.2875","Top","0.0","GRN"
"LED2","LED_GRN_0805","LED_0805","0.4437","1.2875","Top","0.0","GRN"
"LED3","LED_GRN_0805","LED_0805","0.7437","1.2875","Top","0.0","GRN"
"LED4","LED_GRN_0805","LED_0805","1.0375","1.2875","Top","0.0","GRN"
"R1","300R_0603","RES_0603","0.1812","1.3687","Top","180.0","300R"
"R2","300R_0603","RES_0603","0.4437","1.3687","Top","180.0","300R"
"R3","300R_0603","RES_0603","0.7438","1.3687","Top","180.0","300R"
"R4","300R_0603","RES_0603","1.0375","1.3687","Top","180.0","300R"
"TB2","TB_3.5mm_2POS_SOCKET_VERT","TB_HEADER_2P_VERT_1945119","0.55","0.7313","Top","90.0",""
"R5","10R_0805","RES_0805","0.0563","1.3688","Top","270.0","10R"
